Elbow Angle, Wrist Angle
59,0,3
60,0,6
61,0,9
62,0,12
63,0,15
64,0,18
65,0,21
66,0,24
67,0,27
68,0,30
69,0,33
70,0,36
71,0,39
72,0,42
73,0,45
74,0,48
75,0,51
76,0,54
77,0,57
78,0,60
79,0,63
109,0,60
110,0,57
111,0,54
112,0,51
113,0,48
114,0,45
115,0,42
116,0,39
117,0,36
118,0,33
119,0,30
120,0,27
121,0,24
122,0,21
123,0,18
124,0,15
125,0,12
126,0,9
127,0,6
128,0,3
129,0,0
130,0,357
131,0,354
132,0,351
133,0,348
134,0,345
135,0,342
136,0,339
137,0,336
138,0,333
139,0,330
140,0,327
141,0,324
142,0,321
143,0,318
144,0,315
145,0,312
146,0,309
191,3,309
192,6,309
193,9,309
194,12,309
195,15,309
196,18,309
197,21,309
198,24,309
199,27,309
200,30,309
201,33,309
202,36,309
203,39,309
204,42,309
205,45,309
206,48,309
207,51,309
208,54,309
209,57,309
210,60,309
218,57,309
219,54,309
220,51,309
221,48,309
222,45,309
223,42,309
224,39,309
225,36,306
226,33,303
227,30,300
228,27,297
229,24,294
230,21,291
231,18,288
232,15,285
233,12,282
234,9,279
235,6,276
236,3,273
237,0,270
238,357,267
239,354,264
240,351,261
241,348,258
242,345,255
243,342,252
244,339,249
245,336,246
246,333,243
247,330,240
248,327,237
249,324,234
250,321,231
251,318,228
252,315,225
253,312,222
254,309,219
255,306,216
256,303,213
257,300,210
258,297,207
259,294,204
260,291,201
261,288,198
262,285,195
263,282,192
264,279,189
265,276,186
266,273,183
267,270,180
268,267,177
269,264,174
270,261,171
271,258,168
272,255,165
273,252,162
274,249,159
275,246,156
276,243,153
277,240,150
278,240,147
279,240,144
289,243,144
290,246,144
291,249,144
292,252,144
293,255,147
294,258,150
295,261,153
296,264,156
297,267,159
298,270,162
299,273,165
300,276,168
301,279,171
302,282,174
303,285,177
304,288,180
305,291,183
306,294,186
307,297,189
308,300,192
309,303,195
310,306,198
311,309,201
312,312,204
313,315,207
314,318,210
315,321,213
316,324,216
317,327,219
318,330,222
319,333,225
320,336,228
321,339,228
322,342,228
323,345,228
324,348,228
325,351,228
326,354,228
327,357,228
328,0,228
329,3,228
330,6,228
331,9,228
332,12,228
333,15,228
334,18,228
335,21,228
336,24,228
337,27,228
338,30,228
339,33,228
340,36,228
341,39,228
342,42,228
343,45,228
344,48,228
345,51,228
346,54,228
347,57,228
348,60,228
349,63,228
350,66,228
351,69,228
352,72,228
353,75,228
354,78,228
355,81,228
356,84,225
357,87,222
358,90,219
359,93,216
360,96,213
361,99,210
362,99,207
363,99,204
364,99,201
365,99,198
366,99,195
367,99,192
368,99,189
369,99,186
370,99,183
371,99,180
372,99,177
373,99,174
374,99,171
375,99,168
376,99,165
377,99,162
378,99,159
379,99,156
380,99,153
381,99,150
382,99,147
383,99,144
384,99,141
385,99,138
386,99,135
387,99,132
388,99,129
389,99,126
390,99,123
391,99,120
392,99,117
393,99,114
394,99,111
395,99,108
396,99,105
397,99,102
398,99,99
399,99,96
400,99,93
401,99,90
402,99,87
403,99,84
404,99,81
405,99,78
406,99,75
407,99,72
408,99,69
409,99,66
410,99,63
411,99,60
412,99,57
413,99,54
414,99,51
415,99,48
416,99,45
417,99,42
418,96,39
419,93,36
420,90,33
421,87,33
422,84,33
423,81,33
424,78,33
425,75,33
426,72,33
427,69,33
428,66,33
429,63,33
430,60,33
431,57,33
432,54,33
433,51,33
434,48,33
435,45,33
436,42,33
437,39,33
438,36,33
439,33,33
440,30,33
441,27,33
442,24,33
443,21,33
444,18,33
445,15,33
446,12,33
447,9,33
448,6,33
449,3,33
450,0,36
451,357,39
452,354,42
453,351,45
454,348,48
455,345,51
456,345,54
457,345,57
458,345,60
459,345,63
460,345,66
461,345,69
462,345,72
463,345,75
464,345,78
476,348,78
477,351,78
478,354,78
479,357,78
480,0,78
481,3,78
482,6,78
483,9,78
484,12,78
485,15,78
486,18,78
487,21,78
488,24,78
489,27,78
490,30,78
491,33,78
492,36,78
493,39,78
494,42,78
495,45,78
496,48,78
497,48,75
498,48,72
499,48,69
500,48,66
501,48,63
502,48,60
503,48,57
504,48,54
505,48,51
506,48,48
507,48,45
508,48,42
509,48,39
510,48,36
511,48,33
512,48,30
513,48,27
514,48,24
515,48,21
516,45,18
517,42,15
518,39,12
519,36,9
520,33,6
521,30,3
522,27,0
523,24,357
524,21,354
525,18,354
526,15,354
527,12,354
528,9,354
529,6,354
530,3,354
531,0,354
532,357,354
533,354,354
534,351,354
535,348,354
536,345,354
537,342,354
538,339,354
539,336,354
540,333,354
541,330,354
542,327,354
543,324,354
544,321,354
545,318,354
546,315,354
547,312,354
548,309,354
549,306,354
550,303,354
